,Age,Gender,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
103,0.26666666666666666,1,0,0,0,1,5,0,1,2,1,2,0,0,2,1,1,1,2,1,1,0,0
104,0.4,1,0,1,0,3,4,0,1,2,1,1,1,2,2,1,1,1,2,1,1,0,0
105,0.4,1,0,1,1,4,2,1,1,0,1,1,1,0,2,1,1,1,2,1,0,1,0
106,0.24444444444444446,1,0,1,1,3,4,0,1,1,0,1,1,1,0,0,1,2,2,1,1,0,1
107,0.37777777777777777,1,0,1,0,1,4,1,1,2,0,1,1,0,0,0,1,0,0,1,1,0,0
108,0.33333333333333337,1,0,0,1,4,2,0,1,2,0,2,2,2,1,0,1,1,2,1,0,2,0
109,0.11111111111111112,1,0,0,1,4,3,0,1,2,2,1,0,2,0,2,1,0,0,1,2,1,0
110,0.24444444444444446,1,0,0,1,4,2,0,1,2,2,2,2,2,2,1,1,1,1,1,0,2,0
111,0.6222222222222222,1,0,1,1,3,4,1,1,2,2,1,2,2,4,1,1,2,2,2,2,2,0
112,0.33333333333333337,1,0,0,0,1,1,0,1,2,2,1,0,0,0,0,1,1,1,1,1,0,0
113,0.24444444444444446,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0
114,0.2,1,0,0,0,1,4,0,1,0,0,1,0,0,4,1,1,1,1,1,1,0,1
115,0.08888888888888889,1,1,0,0,2,0,1,0,1,2,1,1,2,3,2,1,1,2,1,0,1,0
116,0.22222222222222224,1,0,0,0,3,4,0,0,2,2,2,2,2,4,0,1,1,2,1,1,0,0
117,0.022222222222222223,1,0,0,1,3,0,1,1,1,0,1,1,2,4,1,1,1,0,1,1,0,0
118,0.4,1,0,0,0,0,2,1,1,0,1,1,0,0,0,1,1,1,2,0,0,0,0
119,0.26666666666666666,1,0,0,0,1,5,0,1,2,2,1,2,0,0,2,2,0,0,1,1,0,0
120,0.17777777777777778,1,0,0,0,0,2,1,1,0,0,1,1,0,4,1,1,1,2,1,1,0,0
121,0.35555555555555557,1,0,1,1,4,4,1,1,0,0,0,0,2,4,1,1,2,2,1,0,2,0
